Page #	Entry	Type	Wikidata ID	Notes	Annotator	Visited place	BB visited place	
352	Bernhard	person	Q359047		IT			
166	Napier Myles	organization	Q7184124		ERW			
166	Pension Lejeune	location	N/A		ERW	TRUE	FALSE	
166	the “Roman School	organization			ERW			
352	Bernhard	person	Q359047		IT			
353	Bernhard	person	Q359047		IT			
353	Bernhard	person	Q359047		IT			
353	Bernhard	person	Q359047		IT			
355	Bernhard	person	Q359047		IT			
356	Bernhard	person	Q359047		IT			
356	Bernhard	person	Q359047		IT			
357	Bernhard	person	Q359047		IT			
167	Hampton Court	organization	Q205666		IT			
357	Bernhard	person	Q359047		IT			
357	Bernhard	person	Q359047		IT			
357	Bernhard	person	Q359047		IT			
357	Bernhard	person	Q359047		IT			
357	Bernhard	person	Q359047		IT			
357	Bernhard	person	Q359047		IT			
359	Bernhard	person	Q359047		IT			
359	Bernhard	person	Q359047		IT			
167	Napier Myles	organization	Q7184125		ERW			
167	Oxford	organization	Q34433		ERW			
167	Oxford	organization	Q34433		ERW			
167	Oxford	organization	Q34433		ERW			
167	Oxford	organization	Q34433		ERW			
167	the St. Sebastian	art	Q29230893	wiki-ID for copy	ERW			
360	Bernhard	person	Q359047		IT			
360	Bernhard	person	Q359047		IT			
360	Bernhard	person	Q359047		IT			
362	Bernhard	person	Q359047		IT			
362	Bernhard	person	Q359047		IT			
363	Bernhard	person	Q359047		IT			
363	Bernhard	person	Q359047		IT			
168	Pension Lejeune	location	N/A		ERW	TRUE	FALSE	
169	Adoration of the Magi	organization	Q488841		IT			
363	Bernhard	person	Q359047		IT			
363	Bernhard	person	Q359047		IT			
363	Bernhard	person	Q359047		IT			
363	Bernhard	person	Q359047		IT			
363	Bernhard	person	Q359047		IT			
363	Bernhard	person	Q359047		IT			
363	Bernhard	person	Q359047		IT			
363	Bernhard	person	Q359047		IT			
170	Oxford	organization	Q34433		ERW			
170	Pension Lejeune	location	N/A		ERW	TRUE	FALSE	
171	Bishops	organization	Q29182		IT			
171	Bishops	organization	Q29182		IT			
364	Bernhard	person	Q359047		IT			
364	Bernhard	person	Q359047		IT			
171	Mansfield College	organization			ERW			
171	Oxford	organization	Q34433		ERW			
